university,sj,jh,major,description,start_date,end_date
세종대학교,수시,학생부교과,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,창의인재,창의소프트학부(디자인이노베이션전공/만화애니메이션텍전공),원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,창의인재,컴퓨터공학과/정보보호학과/소프트웨어학과/데이터사이언스학과/지능기전공학부/인공지능학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,창의인재,국어국문학과/역사학과/교육학과/행정학과/미디어커뮤니케이션학과/경제학과/물리천문학과/나노신소재공학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,창의인재,수학통계학부/화학과/스마트생명산업융합학과/건축공학부/건설환경공학과/환경에너지공간융합학과/지구자원시스템공학과/양자원자력공학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,창의인재,국제학부/경영학부/호텔관광외식경영학부/생명시스템학부/전자정보통신공학과/기계항공우주공학부,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,고른기회/사회기여 및 배려자/서해5도학생,인문계열,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,고른기회/사회기여 및 배려자/서해5도학생,자연계열,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,특성화고교졸 재직자,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,인문과학대학,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,경영경제대학/사회과학대학,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,호텔관광대학/법학부,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,자연과학대학/생명과학대학/전자정보공학대학,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,소프트웨어융합대학(지능기전공학부 제외),원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,지능기전공학부/기계항공우주공학부,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,논술우수자,공과대학(기계항공우주공학부 제외),원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,실기우수자,영화예술학과-연출제작,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,실기우수자,영화예술학과-연기예술,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,실기우수자,무용과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,예체능 특기자,체육학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,예체능 특기자,무용과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,예체능 특기자,영화예술학과-연기예술,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,예체능 특기자,영화예술학과-연출제작,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
세종대학교,수시,학생부교과,전 학과,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,창의인재,창의소프트학부(디자인이노베이션전공/만화애니메이션텍전공),서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,창의인재,컴퓨터공학과/정보보호학과/소프트웨어학과/데이터사이언스학과/지능기전공학부/인공지능학과,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,창의인재,국어국문학과/역사학과/교육학과/행정학과/미디어커뮤니케이션학과/경제학과/물리천문학과/나노신소재공학과,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,창의인재,수학통계학부/화학과/스마트생명산업융합학과/건축공학부/건설환경공학과/환경에너지공간융합학과/지구자원시스템공학과/양자원자력공학과,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,창의인재,국제학부/경영학부/호텔관광외식경영학부/생명시스템학부/전자정보통신공학과/기계항공우주공학부,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,고른기회/사회기여 및 배려자/서해5도학생,인문계열,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,고른기회/사회기여 및 배려자/서해5도학생,자연계열,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
세종대학교,수시,특성화고교졸 재직자,전 학과,서류제출/자기소개서 제출,2020-09-25T10:00:00,2020-09-29T17:00:00
